bin,name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
586,g15.t1,chr2L,-,157755,158710,157943,158603,2,"157755,158435,","158375,158710,",0,g15,cmpl,cmpl,"0,0,"
586,g16.t1,chr2L,+,182780,201589,183411,201414,11,"182780,183760,185151,186192,187481,199636,199902,200119,200375,200741,201126,","183419,185082,186123,187016,199575,199743,199983,200315,200675,201061,201589,",0,g16,cmpl,cmpl,"0,2,1,1,0,1,0,0,1,1,0,"
586,g16.t2,chr2L,+,182780,204767,183411,204717,14,"182780,183760,185151,186192,186909,187481,199636,199902,200119,200375,200741,201126,203860,203992,","183419,185082,186123,186855,187016,199575,199743,199983,200315,200675,201061,201369,203891,204767,",0,g16,cmpl,cmpl,"0,2,1,1,1,0,1,0,0,1,1,0,0,1,"
586,g16.t3,chr2L,+,203750,204767,203869,204717,2,"203750,203992,","203891,204767,",0,g16,cmpl,cmpl,"0,1,"
586,g17.t1,chr2L,-,204840,206550,205043,206044,4,"204840,205271,206000,206454,","205212,205943,206050,206550,",0,g17,cmpl,cmpl,"2,2,0,-1,"
586,g18.t1,chr2L,+,207480,210736,207511,209858,3,"207480,207710,208728,","207631,208608,210736,",0,g18,cmpl,cmpl,"0,0,1,"
586,g19.t1,chr2L,-,210733,221230,212184,218882,7,"210733,215033,215772,216076,216344,216631,221127,","214942,215676,216007,216275,216573,218885,221230,",0,g19,cmpl,cmpl,"2,1,0,2,1,0,-1,"
586,g19.t3,chr2L,-,210748,246590,212184,242287,19,"210748,215033,215772,216076,216344,216631,226115,227371,229172,230537,230757,231962,232291,233996,234236,241310,241684,242243,246393,","214942,215676,216007,216275,216573,218885,226508,228281,229382,230627,231034,232101,232379,234174,239396,241435,242143,242744,246590,",0,g19,cmpl,cmpl,"2,1,0,2,1,0,0,2,2,2,1,0,2,1,1,2,2,0,-1,"
586,g19.t2,chr2L,-,225901,232300,226106,232233,7,"225901,227371,229172,230537,230757,231962,232209,","226508,228281,229382,230627,231034,232101,232300,",0,g19,cmpl,cmpl,"0,2,2,2,1,0,0,"
586,g20.t1,chr2L,-,250713,255640,251193,254379,10,"250713,251526,251855,251978,252226,252725,253219,253445,253955,255469,","251464,251801,251924,252166,252377,253145,253385,253890,254397,255640,",0,g20,cmpl,cmpl,"2,0,0,1,0,0,2,1,0,-1,"
73,g21.t1,chr2L,-,259978,267930,263781,266688,3,"259978,263752,267449,","260575,266716,267930,",0,g21,cmpl,cmpl,"-1,0,-1,"
587,g22.t1,chr2L,+,269000,271623,269191,271314,3,"269000,269457,270660,","269389,270606,271623,",0,g22,cmpl,cmpl,"0,0,0,"
587,g23.t1,chr2L,-,271686,273670,271966,273634,2,"271686,272554,","272506,273670,",0,g23,cmpl,cmpl,"0,0,"
587,g24.t1,chr2L,+,273950,274738,273985,274651,1,"273950,","274738,",0,g24,cmpl,cmpl,"0,"
587,g25.t1,chr2L,-,274767,277240,274946,277142,4,"274767,275318,276738,276973,","275251,276497,276903,277240,",0,g25,cmpl,cmpl,"1,1,1,0,"
587,g26.t1,chr2L,+,277750,281605,277930,281514,5,"277750,278642,279184,279869,280109,","278323,279124,279805,280040,281605,",0,g26,cmpl,cmpl,"0,0,2,2,2,"
587,g27.t1,chr2L,-,281854,283510,282171,283147,3,"281854,282696,283360,","282548,283180,283510,",0,g27,cmpl,cmpl,"1,0,-1,"
587,g28.t1,chr2L,-,283676,285700,283885,285633,3,"283676,284747,285432,","284210,284968,285700,",0,g28,cmpl,cmpl,"2,0,0,"
587,g29.t1,chr2L,-,287259,291060,287401,291010,2,"287259,290812,","288784,291060,",0,g29,cmpl,cmpl,"0,0,"
587,g30.t1,chr2L,+,292180,293050,292568,293002,2,"292180,292716,","292660,293050,",0,g30,cmpl,cmpl,"0,2,"
587,g31.t1,chr2L,-,293350,294640,293621,294484,2,"293350,294440,","294372,294640,",0,g31,cmpl,cmpl,"2,0,"
587,g32.t1,chr2L,+,295040,297731,295271,297049,4,"295040,295345,295703,296976,","295280,295628,296811,297731,",0,g32,cmpl,cmpl,"0,0,1,2,"
587,g33.t1,chr2L,+,298250,302999,299061,302659,3,"298250,299032,302025,","298403,299918,302999,",0,g33,cmpl,cmpl,"-1,0,2,"
587,g34.t1,chr2L,-,318280,319330,318417,319233,1,"318280,","319330,",0,g34,cmpl,cmpl,"0,"
587,g35.t1,chr2L,-,320289,321310,320387,321221,1,"320289,","321310,",0,g35,cmpl,cmpl,"0,"
587,g36.t1,chr2L,+,322100,323053,322130,322985,1,"322100,","323053,",0,g36,cmpl,cmpl,"0,"
587,g36.t2,chr2L,+,322100,326182,322130,325896,3,"322100,325677,325881,","322859,325824,326182,",0,g36,cmpl,cmpl,"0,0,0,"
587,g37.t1,chr2L,-,327430,329670,327573,329625,1,"327430,","329670,",0,g37,cmpl,cmpl,"0,"
587,g38.t1,chr2L,-,329903,332180,329990,332132,1,"329903,","332180,",0,g38,cmpl,cmpl,"0,"
587,g39.t2,chr2L,+,332760,346245,333091,345448,16,"332760,333030,334119,335414,336017,336348,337015,337937,339206,340709,342578,342865,344023,344575,345008,345214,","332939,333274,334257,335548,336203,336546,337198,338118,339441,340855,342792,343729,344489,344947,345153,346245,",0,g39,cmpl,cmpl,"-1,0,0,0,2,2,2,2,0,1,0,1,1,2,2,0,"
587,g39.t3,chr2L,+,332770,346480,332872,345448,16,"332770,333134,334119,335414,336017,336348,337015,337937,339206,340709,342578,342865,344023,344575,345008,345214,","332939,333274,334257,335548,336203,336546,337198,338118,339441,340855,342792,343729,344489,344947,345153,346480,",0,g39,cmpl,cmpl,"0,1,0,0,2,2,2,2,0,1,0,1,1,2,2,0,"
587,g39.t1,chr2L,+,333520,346480,334098,345448,14,"333520,335414,336017,336348,337015,337937,339206,340709,342578,342865,344023,344575,345008,345214,","334257,335548,336203,336546,337198,338118,339441,340855,342792,343729,344489,344947,345153,346480,",0,g39,cmpl,cmpl,"0,0,2,2,2,2,0,1,0,1,1,2,2,0,"
587,g40.t1,chr2L,-,355561,357776,355917,357686,4,"355561,356366,356890,357422,","356312,356837,357191,357776,",0,g40,cmpl,cmpl,"1,1,0,0,"
587,g41.t2,chr2L,+,378186,387544,380781,387270,7,"378186,380524,383473,384510,385700,386307,386702,","378481,380875,383819,384894,385746,386576,387544,",0,g41,cmpl,cmpl,"-1,0,1,2,2,0,2,"
587,g41.t1,chr2L,+,384456,387437,384550,387270,4,"384456,385700,386307,386702,","384894,385746,386576,387437,",0,g41,cmpl,cmpl,"0,2,0,2,"
588,g42.t1,chr2L,-,396608,401706,396733,401621,5,"396608,399847,400522,400724,401006,","398866,400456,400667,400942,401706,",0,g42,cmpl,cmpl,"0,0,2,0,0,"
588,g43.t1,chr2L,+,402676,407965,404383,407894,4,"402676,404224,404535,406094,","402706,404473,406035,407965,",0,g43,cmpl,cmpl,"-1,0,0,0,"
588,g43.t2,chr2L,+,402676,407965,404383,407894,5,"402676,404224,404535,405039,406094,","402706,404473,404976,406035,407965,",0,g43,cmpl,cmpl,"-1,0,0,0,0,"
588,g44.t1,chr2L,-,408690,414746,409387,413459,9,"408690,409531,409789,410126,411128,411781,412446,413395,414442,","409465,409736,410073,411060,411718,412237,412658,413654,414746,",0,g44,cmpl,cmpl,"0,2,0,2,0,0,1,0,-1,"
588,g45.t1,chr2L,+,415266,418427,415388,417634,3,"415266,415511,416788,","415446,416710,418427,",0,g45,cmpl,cmpl,"0,1,0,"
588,g46.t1,chr2L,-,418488,419686,418556,419600,1,"418488,","419686,",0,g46,cmpl,cmpl,"0,"
588,g47.t1,chr2L,+,419966,420698,420074,420558,2,"419966,420291,","420146,420698,",0,g47,cmpl,cmpl,"0,0,"
588,g48.t1,chr2L,-,420902,421596,420940,421366,1,"420902,","421596,",0,g48,cmpl,cmpl,"0,"
588,g49.t1,chr2L,+,421866,422554,421898,422435,2,"421866,422242,","422188,422554,",0,g49,cmpl,cmpl,"0,2,"
588,g50.t1,chr2L,+,422886,425338,423451,425291,4,"422886,423915,424823,425072,","423845,424763,425012,425338,",0,g50,cmpl,cmpl,"0,1,0,0,"
588,g51.t1,chr2L,+,437096,447853,438424,447249,6,"437096,438379,438581,443081,443225,446641,","437153,438516,438727,443161,446583,447853,",0,g51,cmpl,cmpl,"-1,0,2,1,0,1,"
588,g52.t1,chr2L,-,448551,450886,449020,450794,4,"448551,449229,449434,450665,","449170,449368,450540,450886,",0,g52,cmpl,cmpl,"0,2,0,0,"
588,g53.t1,chr2L,+,452016,458739,453261,458390,10,"452016,452805,454764,456062,456288,456538,456796,456972,457399,457627,","452065,454270,454929,456223,456468,456729,456897,457338,457562,458739,",0,g53,cmpl,cmpl,"-1,0,1,1,0,0,2,1,1,2,"
588,g54.t1,chr2L,-,458878,466806,460514,466725,2,"458878,466598,","464941,466806,",0,g54,cmpl,cmpl,"1,0,"
588,g55.t1,chr2L,+,470776,475852,473112,475802,6,"470776,472984,473222,474053,475035,475232,","471089,473165,473937,474765,475178,475852,",0,g55,cmpl,cmpl,"-1,0,2,0,1,0,"
588,g56.t1,chr2L,-,475863,509196,476986,503017,5,"475863,502984,504487,507172,509088,","478204,503058,504874,508261,509196,",0,g56,cmpl,cmpl,"0,0,-1,-1,-1,"
589,g57.t1,chr2L,+,533416,540732,536072,539956,7,"533416,536022,537036,537548,537862,539309,539517,","533789,536966,537431,537749,539249,539452,540732,",0,g57,cmpl,cmpl,"-1,0,0,2,2,0,2,"
589,g58.t1,chr2L,-,541553,542377,541767,542247,1,"541553,","542377,",0,g58,cmpl,cmpl,"0,"
589,g59.t1,chr2L,-,542788,544647,543240,544542,3,"542788,543415,544332,","543349,544266,544647,",0,g59,cmpl,cmpl,"2,0,0,"
589,g60.t1,chr2L,+,545137,547098,545191,546953,4,"545137,545370,545872,546564,","545306,545564,546443,547098,",0,g60,cmpl,cmpl,"0,1,0,1,"
589,g60.t2,chr2L,+,545137,547098,545191,546953,4,"545137,545370,545815,546564,","545306,545564,546443,547098,",0,g60,cmpl,cmpl,"0,1,0,1,"
589,g61.t1,chr2L,-,547222,552707,547413,551857,3,"547222,547977,551157,","547900,548218,552707,",0,g61,cmpl,cmpl,"2,1,0,"
589,g62.t1,chr2L,-,553173,558877,553936,558762,6,"553173,554335,555509,557721,557942,558615,","554274,555446,557665,557882,558541,558877,",0,g62,cmpl,cmpl,"1,0,1,2,0,0,"
589,g63.t1,chr2L,+,559617,560525,559698,560315,2,"559617,560096,","560037,560525,",0,g63,cmpl,cmpl,"0,0,"
589,g64.t1,chr2L,-,560632,563947,560793,563181,1,"560632,","563947,",0,g64,cmpl,cmpl,"0,"
589,g65.t1,chr2L,+,564167,566352,564226,566329,1,"564167,","566352,",0,g65,cmpl,cmpl,"0,"
589,g66.t1,chr2L,-,566367,568087,566425,568043,4,"566367,566497,566679,567088,","566438,566624,567030,568087,",0,g66,cmpl,cmpl,"2,1,1,0,"
589,g67.t2,chr2L,+,568377,572772,568427,572650,3,"568377,568598,569347,","568482,569290,572772,",0,g67,cmpl,cmpl,"0,1,0,"
589,g67.t1,chr2L,+,568477,572772,568561,572650,2,"568477,569347,","569290,572772,",0,g67,cmpl,cmpl,"0,0,"
589,g68.t1,chr2L,-,573032,576567,573205,576525,5,"573032,574241,575893,576080,576513,","574180,574286,576022,576404,576567,",0,g68,cmpl,cmpl,"0,0,0,0,0,"
589,g69.t2,chr2L,+,577387,582144,577992,579250,4,"577387,578154,578483,581683,","578033,578420,579506,582144,",0,g69,cmpl,cmpl,"0,2,1,-1,"
589,g69.t1,chr2L,+,578107,582144,578143,579250,3,"578107,578483,581683,","578420,579506,582144,",0,g69,cmpl,cmpl,"0,1,-1,"
589,g70.t1,chr2L,-,583820,624527,584178,621540,7,"583820,592271,593587,603078,620769,621470,624497,","584445,592633,594464,603328,621136,621602,624527,",0,g70,cmpl,cmpl,"0,1,0,2,1,0,-1,"
73,g71.t1,chr2L,-,640018,660187,640958,657348,12,"640018,644436,645093,647988,648478,648990,649933,652785,654246,655273,656711,659940,","644314,645027,645716,648361,648886,649765,650293,653288,654700,655866,657384,660187,",0,g71,cmpl,cmpl,"1,1,2,1,1,0,0,1,0,1,0,-1,"
73,g71.t2,chr2L,-,640018,662347,640958,660635,12,"640018,644436,647988,648478,648990,649933,652785,654246,655273,656711,660527,662000,","644314,645716,648361,648886,649765,650293,653288,654700,655866,657384,661674,662347,",0,g71,cmpl,cmpl,"1,2,1,1,0,0,1,0,1,0,0,-1,"
73,g71.t3,chr2L,-,640018,714977,640958,707766,13,"640018,644436,645093,647988,648478,648990,649933,652785,654246,655273,656711,705870,714274,","644314,645027,645716,648361,648886,649765,650293,653288,654700,655866,657384,707867,714977,",0,g71,cmpl,cmpl,"1,1,2,1,1,0,0,1,0,1,0,0,-1,"
590,g72.t1,chr2L,+,728297,730560,728561,730454,1,"728297,","730560,",0,g72,cmpl,cmpl,"0,"
590,g73.t1,chr2L,-,737214,743882,738073,740995,7,"737214,738320,738507,739444,740356,740799,743337,","738268,738435,738837,740014,740690,741593,743882,",0,g73,cmpl,cmpl,"0,2,2,2,1,0,-1,"
590,g74.t1,chr2L,+,751892,762111,753223,760913,11,"751892,752694,754486,755020,755828,756667,757127,757799,758846,759230,759678,","751973,753730,754630,755296,756080,757030,757429,757938,759122,759549,762111,",0,g74,cmpl,cmpl,"-1,0,0,0,0,0,0,2,0,0,1,"
590,g74.t2,chr2L,+,751892,762111,753538,760913,11,"751892,752694,754486,755020,755828,756667,757127,757799,758846,759230,759678,","751973,753730,754630,755296,756080,757030,757429,757938,759122,759549,762111,",0,g74,cmpl,cmpl,"-1,0,0,0,0,0,0,2,0,0,1,"
590,g75.t1,chr2L,+,773552,774015,773594,773918,1,"773552,","774015,",0,g75,cmpl,cmpl,"0,"
590,g76.t1,chr2L,+,776432,776931,776541,776841,1,"776432,","776931,",0,g76,cmpl,cmpl,"0,"
590,g77.t1,chr2L,+,779172,779650,779203,779563,1,"779172,","779650,",0,g77,cmpl,cmpl,"0,"
590,g78.t1,chr2L,+,781282,782878,781350,782824,4,"781282,782123,782237,782494,","782048,782181,782441,782878,",0,g78,cmpl,cmpl,"0,2,0,0,"
590,g78.t2,chr2L,+,781282,786212,781350,786139,5,"781282,782123,782237,782494,784359,","782048,782181,782441,782703,786212,",0,g78,cmpl,cmpl,"0,2,0,0,2,"
590,g78.t3,chr2L,+,784392,786212,784420,786139,1,"784392,","786212,",0,g78,cmpl,cmpl,"0,"
73,g79.t1,chr2L,-,786223,790742,786259,790629,5,"786223,786478,786732,788241,790488,","786422,786664,788178,788612,790742,",0,g79,cmpl,cmpl,"2,2,2,0,0,"
591,g80.t1,chr2L,+,807052,813353,810645,813311,7,"807052,810630,810808,811088,811258,811634,812561,","807183,810758,811021,811203,811410,812496,813353,",0,g80,cmpl,cmpl,"-1,0,2,2,0,2,0,"
591,g80.t2,chr2L,+,807052,813353,810645,813311,7,"807052,810630,810808,811088,811258,811634,812561,","807183,810758,811021,811203,811428,812496,813353,",0,g80,cmpl,cmpl,"-1,0,2,2,0,2,0,"
591,g81.t1,chr2L,-,813377,815892,813456,815831,5,"813377,813950,814242,815274,815474,","813893,814184,815221,815421,815892,",0,g81,cmpl,cmpl,"1,1,0,0,0,"
591,g82.t1,chr2L,+,816022,816997,816082,816976,1,"816022,","816997,",0,g82,cmpl,cmpl,"0,"
591,g83.t1,chr2L,-,817009,817932,817045,817898,2,"817009,817243,","817182,817932,",0,g83,cmpl,cmpl,"1,0,"
591,g84.t1,chr2L,-,818084,819432,818506,819334,2,"818084,818703,","818643,819432,",0,g84,cmpl,cmpl,"1,0,"
591,g85.t1,chr2L,+,819942,821205,820078,820969,1,"819942,","821205,",0,g85,cmpl,cmpl,"0,"
591,g86.t1,chr2L,+,821292,824333,821551,823776,3,"821292,822857,823636,","821659,823569,824333,",0,g86,cmpl,cmpl,"0,0,1,"
591,g87.t1,chr2L,-,824335,825862,824432,825797,1,"824335,","825862,",0,g87,cmpl,cmpl,"0,"
591,g88.t1,chr2L,+,828142,832326,828172,831923,6,"828142,829679,830144,830737,831176,831713,","828175,829971,830349,831083,831626,832326,",0,g88,cmpl,cmpl,"0,0,1,2,0,0,"
591,g89.t1,chr2L,-,834690,851182,834770,850068,7,"834690,834973,835352,835703,836545,849898,851098,","834779,835290,835547,836171,837378,850528,851182,",0,g89,cmpl,cmpl,"0,1,1,1,2,0,-1,"
591,g90.t1,chr2L,-,851298,852582,851442,852406,3,"851298,851717,852498,","851659,852442,852582,",0,g90,cmpl,cmpl,"2,0,-1,"
591,g91.t1,chr2L,+,852842,854538,852935,854383,3,"852842,853191,853544,","853005,853278,854538,",0,g91,cmpl,cmpl,"0,1,1,"
591,g92.t1,chr2L,+,855392,856217,855549,856107,3,"855392,855686,855867,","855623,855810,856217,",0,g92,cmpl,cmpl,"0,2,0,"
591,g92.t2,chr2L,+,855392,861805,855549,861696,6,"855392,855686,855867,857406,860763,861428,","855623,855810,856071,857489,861357,861805,",0,g92,cmpl,cmpl,"0,2,0,0,2,2,"
591,g93.t1,chr2L,-,861848,868322,862165,864745,6,"861848,862318,862562,864194,864397,867813,","862258,862498,864134,864338,864794,868322,",0,g93,cmpl,cmpl,"0,0,0,0,0,-1,"
591,g94.t1,chr2L,-,868501,869872,868738,869776,1,"868501,","869872,",0,g94,cmpl,cmpl,"0,"
591,g95.t1,chr2L,+,871032,878270,871573,878173,7,"871032,871640,871805,872207,875037,877396,877969,","871576,871738,872080,873539,876706,877871,878270,",0,g95,cmpl,cmpl,"0,0,2,1,1,2,0,"
591,g95.t2,chr2L,+,871032,878270,871573,878173,8,"871032,871640,871805,872207,875037,876768,877349,877969,","871576,871738,872080,873539,876706,876841,877871,878270,",0,g95,cmpl,cmpl,"0,0,2,1,1,2,0,0,"
591,g95.t3,chr2L,+,871032,877034,871573,876737,5,"871032,871640,871805,872207,875037,","871576,871738,872080,873539,877034,",0,g95,cmpl,cmpl,"0,0,2,1,1,"
591,g96.t1,chr2L,-,878273,885182,878367,885052,14,"878273,878837,879864,880973,881647,882047,882659,883095,883364,884051,884255,884441,884721,884907,","878773,879799,880914,881585,881947,882604,883039,883297,883991,884185,884388,884652,884846,885182,",0,g96,cmpl,cmpl,"2,0,0,0,0,1,2,1,1,2,1,0,1,0,"
591,g96.t2,chr2L,-,878273,885202,878367,885052,13,"878273,878837,879864,880973,881647,882047,882659,883095,883364,884255,884441,884721,884907,","878773,879799,880914,881585,881947,882604,883039,883297,884185,884388,884652,884846,885202,",0,g96,cmpl,cmpl,"2,0,0,0,0,1,2,1,2,1,0,1,0,"
591,g97.t1,chr2L,+,898641,901314,898731,901169,2,"898641,899009,","898941,901314,",0,g97,cmpl,cmpl,"0,0,"
73,g98.t3,chr2L,+,901521,917807,901587,917736,12,"901521,914109,914337,914552,914799,915057,915324,915507,915814,916281,916706,917466,","901646,914279,914493,914615,915003,915269,915447,915750,916231,916653,917387,917807,",0,g98,cmpl,cmpl,"0,2,1,1,1,1,0,0,0,0,0,0,"
73,g98.t1,chr2L,+,911031,917807,914197,917736,12,"911031,913985,914337,914552,914799,915057,915324,915507,915814,916281,916706,917466,","911211,914279,914493,914615,915003,915269,915447,915750,916231,916653,917387,917807,",0,g98,cmpl,cmpl,"-1,0,1,1,1,1,0,0,0,0,0,0,"
73,g98.t2,chr2L,+,913841,917807,914167,917736,11,"913841,914337,914552,914799,915057,915324,915507,915814,916281,916706,917466,","914279,914493,914615,915003,915269,915447,915750,916231,916653,917387,917807,",0,g98,cmpl,cmpl,"0,1,1,1,1,0,0,0,0,0,0,"
592,g99.t1,chr2L,+,950201,957586,950492,957452,9,"950201,951586,952255,953395,956248,956403,956859,957051,957278,","950578,952142,953333,953510,956334,956792,956944,957209,957586,",0,g99,cmpl,cmpl,"0,2,0,1,2,1,0,1,0,"
592,g99.t2,chr2L,+,950331,957586,950492,957452,9,"950331,951586,952255,953395,956248,956403,956859,957051,957260,","950578,952142,953333,953510,956334,956792,956944,957209,957586,",0,g99,cmpl,cmpl,"0,2,0,1,2,1,0,1,0,"
592,g100.t1,chr2L,-,1008609,1036861,1013952,1034423,14,"1008609,1012351,1013912,1014549,1014776,1015034,1015314,1015992,1016138,1017710,1019267,1033686,1034401,1036281,","1009596,1012553,1014484,1014716,1014974,1015256,1015927,1016076,1017641,1017768,1019321,1034190,1035034,1036861,",0,g100,cmpl,cmpl,"-1,-1,2,0,0,0,2,2,2,1,1,1,0,-1,"
592,g101.t1,chr2L,+,1037011,1038479,1037378,1038422,1,"1037011,","1038479,",0,g101,cmpl,cmpl,"0,"
593,g102.t1,chr2L,-,1050050,1066291,1052037,1062146,5,"1050050,1052330,1052565,1061233,1066135,","1052265,1052495,1053053,1062213,1066291,",0,g102,cmpl,cmpl,"0,0,1,0,-1,"
593,g103.t1,chr2L,+,1077615,1080809,1078034,1080710,3,"1077615,1078624,1079120,","1078568,1079065,1080809,",0,g103,cmpl,cmpl,"0,0,0,"
593,g104.t1,chr2L,+,1081205,1083023,1081279,1082871,5,"1081205,1081577,1081976,1082119,1082719,","1081427,1081920,1082056,1082665,1083023,",0,g104,cmpl,cmpl,"0,1,2,1,1,"
593,g104.t2,chr2L,+,1081205,1083023,1081243,1082871,5,"1081205,1081577,1081976,1082119,1082719,","1081427,1081920,1082056,1082665,1083023,",0,g104,cmpl,cmpl,"0,1,2,1,1,"
593,g105.t1,chr2L,-,1083761,1089485,1084018,1087678,8,"1083761,1084893,1085200,1085523,1085743,1085926,1087594,1089385,","1084836,1085136,1085309,1085680,1085861,1086026,1088106,1089485,",0,g105,cmpl,cmpl,"1,1,0,2,1,0,0,-1,"
