bin,chrom,chromStart,chromEnd,name,length,cpgNum,gcNum,perCpg,perGc,obsExp
591,chr2L,829697,831920,CpG: 150,2223,150,1169,13.5,52.6,0.98
591,chr2L,834242,834535,CpG: 25,293,25,148,17.1,50.5,1.34
591,chr2L,835956,836165,CpG: 18,209,18,122,17.2,58.4,1.01
591,chr2L,836725,837377,CpG: 48,652,48,376,14.7,57.7,0.89
591,chr2L,842615,842871,CpG: 22,256,22,143,17.2,55.9,1.11
591,chr2L,844216,844840,CpG: 42,624,42,315,13.5,50.5,1.07
591,chr2L,848028,848447,CpG: 32,419,32,236,15.3,56.3,1.01
591,chr2L,849905,864793,CpG: 938,14888,938,7563,12.6,50.8,0.98
591,chr2L,867090,867417,CpG: 26,327,26,180,15.9,55,1.1
591,chr2L,872854,883896,CpG: 677,11042,677,5642,12.3,51.1,0.94
591,chr2L,885773,886240,CpG: 32,467,32,247,13.7,52.9,0.98
591,chr2L,898472,898888,CpG: 29,416,29,240,13.9,57.7,0.84
591,chr2L,899074,901244,CpG: 163,2170,163,1202,15,55.4,0.99
591,chr2L,904063,904302,CpG: 24,239,24,143,20.1,59.8,1.15
591,chr2L,909193,909636,CpG: 37,443,37,233,16.7,52.6,1.22
591,chr2L,910129,910595,CpG: 36,466,36,239,15.5,51.3,1.17
591,chr2L,915376,916154,CpG: 61,778,61,419,15.7,53.9,1.08
73,chr2L,916855,917662,CpG: 55,807,55,427,13.6,52.9,0.97
592,chr2L,917945,918291,CpG: 27,346,27,193,15.6,55.8,1.01
592,chr2L,919305,919918,CpG: 45,613,45,318,14.7,51.9,1.09
592,chr2L,920442,920773,CpG: 27,331,27,173,16.3,52.3,1.21
592,chr2L,922573,923180,CpG: 52,607,52,317,17.1,52.2,1.26
592,chr2L,923866,924227,CpG: 27,361,27,189,15,52.4,1.1
592,chr2L,926159,926469,CpG: 27,310,27,165,17.4,53.2,1.23
592,chr2L,932005,932973,CpG: 67,968,67,486,13.8,50.2,1.1
592,chr2L,933465,933789,CpG: 23,324,23,163,14.2,50.3,1.14
592,chr2L,934653,935188,CpG: 45,535,45,284,16.8,53.1,1.2
592,chr2L,943068,943376,CpG: 29,308,29,159,18.8,51.6,1.42
592,chr2L,951606,953350,CpG: 124,1744,124,1041,14.2,59.7,0.8
592,chr2L,956281,957166,CpG: 61,885,61,484,13.8,54.7,0.92
592,chr2L,958380,959371,CpG: 61,991,61,559,12.3,56.4,0.77
592,chr2L,965486,965962,CpG: 40,476,40,258,16.8,54.2,1.16
592,chr2L,969981,970964,CpG: 72,983,72,499,14.6,50.8,1.14
592,chr2L,972624,973372,CpG: 52,748,52,391,13.9,52.3,1.02
592,chr2L,974905,975380,CpG: 35,475,35,259,14.7,54.5,1.01
592,chr2L,985324,985594,CpG: 22,270,22,153,16.3,56.7,1.02
592,chr2L,987823,988812,CpG: 85,989,85,558,17.2,56.4,1.08
592,chr2L,992739,993039,CpG: 22,300,22,160,14.7,53.3,1.04
592,chr2L,993739,995280,CpG: 106,1541,106,777,13.8,50.4,1.08
592,chr2L,996066,996466,CpG: 28,400,28,226,14,56.5,0.89
592,chr2L,1007135,1008229,CpG: 80,1094,80,597,14.6,54.6,0.98
592,chr2L,1010756,1011161,CpG: 27,405,27,210,13.3,51.9,0.99
592,chr2L,1013595,1017581,CpG: 315,3986,315,2312,15.8,58,0.94
592,chr2L,1019770,1020039,CpG: 20,269,20,145,14.9,53.9,1.05
592,chr2L,1021088,1022080,CpG: 64,992,64,504,12.9,50.8,1
592,chr2L,1023746,1023993,CpG: 22,247,22,124,17.8,50.2,1.41
592,chr2L,1026330,1026585,CpG: 19,255,19,138,14.9,54.1,1.03
592,chr2L,1027113,1027378,CpG: 19,265,19,134,14.3,50.6,1.14
592,chr2L,1029899,1030172,CpG: 18,273,18,145,13.2,53.1,0.94
592,chr2L,1033032,1033454,CpG: 31,422,31,227,14.7,53.8,1.02
592,chr2L,1033720,1034104,CpG: 42,384,42,263,21.9,68.5,0.93
592,chr2L,1036386,1036736,CpG: 30,350,30,186,17.1,53.1,1.21
592,chr2L,1037418,1038384,CpG: 88,966,88,573,18.2,59.3,1.04
592,chr2L,1040064,1040303,CpG: 19,239,19,131,15.9,54.8,1.06
592,chr2L,1040543,1040836,CpG: 24,293,24,161,16.4,54.9,1.1
592,chr2L,1042951,1043568,CpG: 59,617,59,380,19.1,61.6,1.01
592,chr2L,1045401,1045905,CpG: 40,504,40,265,15.9,52.6,1.15
593,chr2L,1048802,1049144,CpG: 29,342,29,201,17,58.8,0.98
593,chr2L,1051949,1053235,CpG: 106,1286,106,736,16.5,57.2,1.01
593,chr2L,1054662,1055290,CpG: 48,628,48,316,15.3,50.3,1.22
593,chr2L,1056296,1056799,CpG: 43,503,43,272,17.1,54.1,1.17
593,chr2L,1059913,1060213,CpG: 30,300,30,151,20,50.3,1.62
593,chr2L,1061263,1062142,CpG: 68,879,68,550,15.5,62.6,0.79
593,chr2L,1062578,1062825,CpG: 20,247,20,127,16.2,51.4,1.35
593,chr2L,1063760,1064031,CpG: 26,271,26,151,19.2,55.7,1.24
593,chr2L,1069757,1070462,CpG: 50,705,50,358,14.2,50.8,1.14
593,chr2L,1077080,1078461,CpG: 119,1381,119,704,17.2,51,1.33
593,chr2L,1080404,1080730,CpG: 26,326,26,174,16,53.4,1.13
593,chr2L,1081143,1081391,CpG: 22,248,22,151,17.7,60.9,0.96
593,chr2L,1081591,1081814,CpG: 19,223,19,132,17,59.2,0.97
593,chr2L,1082335,1083321,CpG: 67,986,67,499,13.6,50.6,1.06
593,chr2L,1084033,1088038,CpG: 250,4005,250,2051,12.5,51.2,0.95
593,chr2L,1095474,1096040,CpG: 49,566,49,302,17.3,53.4,1.22
593,chr2L,1096804,1097040,CpG: 18,236,18,129,15.3,54.7,1.02
593,chr2L,1100157,1100409,CpG: 17,252,17,146,13.5,57.9,0.83
593,chr2L,1102227,1109843,CpG: 472,7616,472,3861,12.4,50.7,0.96
593,chr2L,1111270,1112170,CpG: 63,900,63,500,14,55.6,0.91
593,chr2L,1122416,1123366,CpG: 72,950,72,489,15.2,51.5,1.15
593,chr2L,1129835,1139981,CpG: 620,10146,620,5235,12.2,51.6,0.92
593,chr2L,1142773,1143389,CpG: 49,616,49,311,15.9,50.5,1.25
593,chr2L,1145570,1146064,CpG: 41,494,41,309,16.6,62.6,0.85
593,chr2L,1146716,1147134,CpG: 30,418,30,219,14.4,52.4,1.06
593,chr2L,1147757,1149278,CpG: 100,1521,100,844,13.1,55.5,0.85
593,chr2L,1149688,1150046,CpG: 26,358,26,212,14.5,59.2,0.86
74,chr2L,1150650,1186724,CpG: 2174,36074,2174,18073,12.1,50.1,0.96
594,chr2L,1191770,1192616,CpG: 74,846,74,479,17.5,56.6,1.09
594,chr2L,1196223,1196500,CpG: 22,277,22,165,15.9,59.6,0.9
594,chr2L,1197919,1198337,CpG: 37,418,37,221,17.7,52.9,1.27
594,chr2L,1200893,1201098,CpG: 19,205,19,132,18.5,64.4,1.02
594,chr2L,1204226,1204671,CpG: 42,445,42,247,18.9,55.5,1.23
594,chr2L,1214173,1214550,CpG: 27,377,27,218,14.3,57.8,0.86
594,chr2L,1221010,1221528,CpG: 39,518,39,277,15.1,53.5,1.05
594,chr2L,1230033,1230630,CpG: 45,597,45,314,15.1,52.6,1.09
594,chr2L,1231275,1231547,CpG: 22,272,22,143,16.2,52.6,1.18
594,chr2L,1233518,1233767,CpG: 21,249,21,141,16.9,56.6,1.07
594,chr2L,1236210,1236455,CpG: 20,245,20,134,16.3,54.7,1.16
594,chr2L,1238865,1239089,CpG: 18,224,18,131,16.1,58.5,0.94
594,chr2L,1240144,1240857,CpG: 60,713,60,422,16.8,59.2,0.96
594,chr2L,1248568,1249011,CpG: 34,443,34,228,15.3,51.5,1.25
594,chr2L,1253530,1253892,CpG: 28,362,28,202,15.5,55.8,1.02
594,chr2L,1256170,1256578,CpG: 32,408,32,218,15.7,53.4,1.1
594,chr2L,1263870,1264094,CpG: 17,224,17,113,15.2,50.4,1.24
594,chr2L,1265136,1265353,CpG: 16,217,16,112,14.7,51.6,1.12
594,chr2L,1273340,1273803,CpG: 36,463,36,244,15.6,52.7,1.14
594,chr2L,1284595,1284897,CpG: 29,302,29,188,19.2,62.3,0.99
594,chr2L,1285309,1285817,CpG: 38,508,38,270,15,53.1,1.06
594,chr2L,1286545,1286813,CpG: 22,268,22,155,16.4,57.8,0.98
594,chr2L,1289461,1289739,CpG: 27,278,27,174,19.4,62.6,0.99
594,chr2L,1292655,1293381,CpG: 50,726,50,435,13.8,59.9,0.77
594,chr2L,1304074,1304433,CpG: 29,359,29,193,16.2,53.8,1.18
595,chr2L,1312662,1312993,CpG: 27,331,27,176,16.3,53.2,1.17
595,chr2L,1314020,1314243,CpG: 16,223,16,121,14.3,54.3,0.98
595,chr2L,1334330,1334541,CpG: 20,211,20,112,19,53.1,1.35
595,chr2L,1336092,1336500,CpG: 29,408,29,215,14.2,52.7,1.06
595,chr2L,1339534,1339809,CpG: 24,275,24,149,17.5,54.2,1.2
595,chr2L,1344601,1344948,CpG: 27,347,27,196,15.6,56.5,0.98
595,chr2L,1351939,1352720,CpG: 51,781,51,410,13.1,52.5,0.95
595,chr2L,1353088,1353713,CpG: 55,625,55,362,17.6,57.9,1.05
595,chr2L,1354225,1354829,CpG: 43,604,43,329,14.2,54.5,0.96
595,chr2L,1356009,1356352,CpG: 27,343,27,182,15.7,53.1,1.2
595,chr2L,1365091,1365346,CpG: 25,255,25,160,19.6,62.7,1.03
595,chr2L,1368555,1368927,CpG: 31,372,31,203,16.7,54.6,1.15
595,chr2L,1379400,1379758,CpG: 28,358,28,185,15.6,51.7,1.2
595,chr2L,1381646,1382168,CpG: 45,522,45,329,17.2,63,0.87
595,chr2L,1384897,1385203,CpG: 39,306,39,197,25.5,64.4,1.23
595,chr2L,1390906,1392827,CpG: 130,1921,130,1035,13.5,53.9,0.93
595,chr2L,1394491,1394972,CpG: 41,481,41,283,17,58.8,0.99
595,chr2L,1396652,1397241,CpG: 42,589,42,297,14.3,50.4,1.12
595,chr2L,1409365,1409707,CpG: 28,342,28,190,16.4,55.6,1.06
595,chr2L,1415766,1416159,CpG: 39,393,39,203,19.8,51.7,1.49
595,chr2L,1424710,1424924,CpG: 18,214,18,112,16.8,52.3,1.23
595,chr2L,1427014,1427249,CpG: 24,235,24,128,20.4,54.5,1.4
74,chr2L,1441702,1442204,CpG: 34,502,34,255,13.5,50.8,1.05
596,chr2L,1444567,1444808,CpG: 18,241,18,133,14.9,55.2,0.99
596,chr2L,1445521,1445768,CpG: 21,247,21,145,17,58.7,1.03
596,chr2L,1447683,1447996,CpG: 25,313,25,164,16,52.4,1.17
596,chr2L,1450968,1451246,CpG: 24,278,24,140,17.3,50.4,1.37
596,chr2L,1455887,1456276,CpG: 29,389,29,207,14.9,53.2,1.07
596,chr2L,1460532,1461093,CpG: 39,561,39,317,13.9,56.5,0.87
596,chr2L,1492500,1493064,CpG: 39,564,39,287,13.8,50.9,1.07
596,chr2L,1494579,1495385,CpG: 55,806,55,457,13.6,56.7,0.86
596,chr2L,1496719,1496935,CpG: 20,216,20,116,18.5,53.7,1.29
596,chr2L,1497325,1497830,CpG: 37,505,37,261,14.7,51.7,1.1
596,chr2L,1499513,1499889,CpG: 30,376,30,210,16,55.9,1.02
596,chr2L,1501458,1501758,CpG: 25,300,25,165,16.7,55,1.11
596,chr2L,1501934,1502170,CpG: 18,236,18,139,15.3,58.9,0.88
596,chr2L,1502529,1502786,CpG: 25,257,25,143,19.5,55.6,1.27
596,chr2L,1506392,1506627,CpG: 21,235,21,127,17.9,54,1.24
596,chr2L,1507024,1507496,CpG: 33,472,33,243,14,51.5,1.07
596,chr2L,1510917,1511306,CpG: 31,389,31,223,15.9,57.3,0.97
596,chr2L,1517680,1517971,CpG: 21,291,21,149,14.4,51.2,1.12
596,chr2L,1521170,1521427,CpG: 18,257,18,132,14,51.4,1.06
596,chr2L,1527692,1527927,CpG: 21,235,21,119,17.9,50.6,1.4
596,chr2L,1529235,1529804,CpG: 44,569,44,316,15.5,55.5,1.01
596,chr2L,1536668,1536986,CpG: 30,318,30,166,18.9,52.2,1.39
596,chr2L,1537810,1538173,CpG: 30,363,30,196,16.5,54,1.14
596,chr2L,1541040,1541644,CpG: 43,604,43,306,14.2,50.7,1.11
596,chr2L,1555027,1555761,CpG: 53,734,53,369,14.4,50.3,1.15
596,chr2L,1565617,1565937,CpG: 25,320,25,175,15.6,54.7,1.05
596,chr2L,1566383,1566671,CpG: 22,288,22,155,15.3,53.8,1.08
596,chr2L,1571619,1571997,CpG: 26,378,26,192,13.8,50.8,1.11
597,chr2L,1585043,1585536,CpG: 33,493,33,287,13.4,58.2,0.79
597,chr2L,1596024,1596415,CpG: 31,391,31,217,15.9,55.5,1.04
597,chr2L,1600971,1601213,CpG: 19,242,19,139,15.7,57.4,0.95
